targetResourceName;resourceRG;targetResourceType;targetResourceTypeFriendlyName;alertDescription;alertSev;alertDimensions;alertOperator;alertTimeAggregation;alertMeasureColumn;eveluationFreq;windowsSize;alertTreshold;alertQuery
df-pocadf-dev;poc-adf;Microsoft.DataFactory/factories;ADFOP;;1;;GreaterThanOrEqual;Total;metricval;PT1M;PT5M;90;ADFSandboxActivityRun | where Status == "Succeeded" | project Status, ActivityName, ResourceId | extend resourceName = split(ResourceId, '/')[-1] | where resourceName == "DF-POCADF-DEV" | summarize metricval=count() by Status
df-pocadf-dev;poc-adf;Microsoft.DataFactory/factories;ADFOP;;1;;GreaterThanOrEqual;Count;;PT1M;PT5M;90;ADFSandboxActivityRun | where Status == "Succeeded" | project Status, ActivityName, ResourceId | extend resourceName = split(ResourceId, '/')[-1] | where resourceName =="DF-POCADF-DEV"
df-pocadf-dev;poc-adf;Microsoft.DataFactory/factories;ADFOP;;1;Status|Exclude|test!test2!test3,ActivityName|Include|*;GreaterThanOrEqual;Count;;PT1M;PT5M;90;ADFSandboxActivityRun | where Status == "Succeeded" | project Status, ActivityName, ResourceId | extend resourceName = split(ResourceId, '/')[-1] | where resourceName =="DF-POCADF-DEV"
